course_code,course_name,credits,grade,semester
MAT350,Probability & Statistics,3,B+,Summer2022
CEE110,Engineering Drawing,1,D,Summer2022
HIS102,World Civilization,3,A,Fall2022
CSE323,Operating Systems Design,3,B+,Fall2022
BIO103,Biology I,3,D+,Fall2022
EEE111,Analog Electronics I,3,A-,Fall2022
ENG111,Public Speaking,3,F,Fall2022
ECO101,Intro to Microeconomics,3,A-,Fall2022
CSE115,Programming Language I,3,F,Spring2023
CSE311L,Database Management Systems Lab,1,C,Spring2023
CSE311,Database Management Systems,3,B,Spring2023
PHY107,Physics I,3,A-,Summer2023
