course_code,course_name,credits,grade,semester
CSE311L,Database Management Systems Lab,1,C-,Fall2021
MAT361,Differential Equations,3,F,Fall2021
CSE499B,Senior Capstone Design II,2,B-,Fall2021
HIS101,Bangladesh History,3,D,Fall2021
MAT130,Calculus II,3,B-,Fall2021
CSE231,Digital Logic Design,3,D+,Fall2021
CSE101,Introduction to Python Programming,3,F,Fall2021
PHY107L,Physics I Lab,1,F,Fall2021
MAT125,Linear Algebra,3,C,Spring2022
CSE323,Operating Systems Design,3,D,Spring2022
CSE226,Fundamentals of Vibe Coding,3,D+,Spring2022
CSE225L,Data Structures & Algorithms Lab,1,C,Spring2022
SOC101,Intro to Sociology,3,D,Spring2022
CSE425,Concepts of Programming Languages,3,B,Summer2022
EEE141L,Electrical Circuits I Lab,1,D,Summer2022
BIO103L,Biology I Lab,1,D,Summer2022
CSE299,Junior Design Project,1,D,Summer2022
ENG111,Public Speaking,3,C-,Summer2022
EEE111L,Analog Electronics I Lab,1,F,Summer2022
CSE215L,Programming Language II Lab,1,D,Summer2022
CSE327,Software Engineering,3,C,Summer2022
EEE141,Electrical Circuits I,3,D+,Summer2022
PHY108,Physics II,3,C,Summer2022
EEE111,Analog Electronics I,3,C,Summer2022
PHY107,Physics I,3,C,Summer2022
CSE101,Introduction to Python Programming,3,C,Summer2023
PHY107L,Physics I Lab,1,C,Spring2024
EEE141L,Electrical Circuits I Lab,1,D+,Summer2024
BIO103L,Biology I Lab,1,D,Fall2024
