course_code,course_name,credits,grade,semester
PHI104,Introduction to Ethics,3,B-,Summer2021
CSE225L,Data Structures & Algorithms Lab,1,A,Summer2021
BIO103L,Biology I Lab,1,B+,Fall2021
CSE173,Discrete Mathematics,3,D,Spring2022
CSE332,Computer Organization & Architecture,3,B-,Spring2022
CEE110,Engineering Drawing,1,C+,Spring2022
CSE323,Operating Systems Design,3,A-,Spring2022
CSE225,Data Structures & Algorithms,3,A-,Spring2022
HIS102,World Civilization,3,A,Spring2022
PHY107L,Physics I Lab,1,B-,Summer2022
CSE215L,Programming Language II Lab,1,B+,Summer2022
CHE101L,Chemistry I Lab,1,C,Summer2022
CSE226,Fundamentals of Vibe Coding,3,A,Summer2022
MAT350,Probability & Statistics,3,C+,Spring2023
CSE311L,Database Management Systems Lab,1,B,Summer2023
EEE141,Electrical Circuits I,3,C,Summer2023
EEE141L,Electrical Circuits I Lab,1,C,Summer2023
CSE311,Database Management Systems,3,A,Summer2023
ENG103,Intermediate Composition,3,D,Summer2023
CSE331L,Microprocessor Interfacing Lab,1,C-,Fall2023
PHY108,Physics II,3,A-,Fall2023
EEE452,Engineering Economics,3,D,Fall2023
