course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Spring2020
CSE331,Microprocessor Interfacing,3,F,Spring2020
CSE145,Introduction to Artificial Intelligence,3,I,Spring2020
CSE215,Programming Language II,3,F,Spring2020
CSE225,Data Structures & Algorithms,3,F,Spring2020
PHY108,Physics II,3,D,Summer2020
ANT101,Anthropology,3,C-,Summer2020
EEE111,Analog Electronics I,3,F,Fall2020
PHI104,Introduction to Ethics,3,C-,Fall2020
PHY108,Physics II,3,D+,Fall2020
CSE332,Computer Organization & Architecture,3,D,Fall2020
CSE327,Software Engineering,3,F,Fall2020
MAT240,Probability & Statistics,3,I,Fall2020
CSE373,Design & Analysis of Algorithms,3,F,Fall2020
CSE332,Computer Organization & Architecture,3,C,Spring2021
ENG103,Intermediate Composition,3,D+,Spring2021
CSE101,Introduction to Python Programming,3,F,Spring2021
EEE141,Electrical Circuits I,3,C-,Spring2021
POL101,Intro to Political Science,3,D,Spring2021
CSE311L,Database Management Systems Lab,1,I,Summer2021
CSE331L,Microprocessor Interfacing Lab,1,F,Summer2021
MAT240,Probability & Statistics,3,D,Fall2021
CSE373,Design & Analysis of Algorithms,3,B-,Spring2022
CSE331L,Microprocessor Interfacing Lab,1,D,Spring2022
CSE311L,Database Management Systems Lab,1,C,Spring2023
CSE101,Introduction to Python Programming,3,C+,Summer2023
